iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method
0,0.00015783309936523438,-13.372454945399864,80.06817094680356,AW,0.25,22.374232698692072,-80.06817094680356,AFW
1,0.00032901763916015625,-30.44684082166108,14.076383766888219,FW,0.15506727510615004,16.547521094162757,-14.076383766888219,AFW
2,0.0005059242248535156,-31.538234058700983,7.507735422422068,FW,0.07921124565006889,15.338171374304471,-7.507735422422068,AFW
3,0.0006740093231201172,-31.835582596111582,5.045413675198472,AW,0.05228387950691415,15.142857020269194,-5.045413675198472,AFW
4,0.0008299350738525391,-31.96747949643987,3.3414266202828915,FW,0.038255037512185806,14.911157137490175,-3.3414266202828915,AFW
5,0.0009920597076416016,-32.03139269679146,2.5691079170374977,AW,0.024681939129787056,14.875342627537451,-2.5691079170374977,AFW
6,0.001138925552368164,-32.063097979404546,1.8496358590015007,AW,0.01970376409996944,14.809740023058568,-1.8496358590015007,AFW
7,0.0012927055358886719,-32.081320373722846,1.246619733719187,FW,0.015667698600073394,14.75851315062842,-1.246619733719187,AFW
8,0.0014469623565673828,-32.09108620485125,0.8971616425785933,AW,0.009653367448248814,14.74193443317554,-0.8971616425785933,AFW
9,0.0016069412231445312,-32.0954165203494,0.6799674865046711,FW,0.00740552259864308,14.730127097408495,-0.6799674865046711,AFW
10,0.0017647743225097656,-32.097934277643226,0.46121154276955534,AW,0.0056918576584619116,14.734898712682531,-0.46121154276955534,AFW
11,0.0019178390502929688,-32.09924685286916,0.36639634320727477,FW,0.0036483091129240856,14.729040901747506,-0.36639634320727477,AFW
12,0.0020749568939208984,-32.099915216428094,0.2967300878291435,AW,0.003012154272323024,14.736037859867826,-0.2967300878291435,AFW
13,0.0022258758544921875,-32.100362114828975,0.24862227581069687,FW,0.0024841137609080406,14.727638996550137,-0.24862227581069687,AFW
14,0.003125905990600586,-32.100670917837306,0.18072440110652552,AW,0.0018824814507018516,14.72944742813914,-0.18072440110652552,AFW
15,0.0035200119018554688,-32.10084102300367,0.1469273666185374,FW,0.001577785029302139,14.728167879732585,-0.1469273666185374,AFW
16,0.003847837448120117,-32.10095693290341,0.1302055871879546,FW,0.001395957510236453,14.729172249489318,-0.1302055871879546,AFW
17,0.004109859466552734,-32.10104781363705,0.10295332899891976,FW,0.0012519209790773347,14.729232748137356,-0.10295332899891976,AFW
18,0.0042798519134521484,-32.10111225835328,0.08255840776661635,FW,0.0009790701991447598,14.729351603269516,-0.08255840776661635,AFW
19,0.004427909851074219,-32.10115267359164,0.0717013948129672,AW,0.0007632836846724611,14.729626168615578,-0.0717013948129672,AFW
20,0.00455784797668457,-32.101180037844046,0.061721464921124125,FW,0.0006863505310449237,14.727745191361224,-0.061721464921124125,AFW
21,0.004688739776611328,-32.101201219124164,0.059183012683558606,FW,0.0006504277726861522,14.728419357015047,-0.059183012683558606,AFW
22,0.004839897155761719,-32.10122046626172,0.05194238363588008,FW,0.0005578024599953188,14.728674123996424,-0.05194238363588008,AFW
23,0.0052449703216552734,-32.10123495305642,0.04634107841453419,AW,0.0004547666561520889,14.72858454314681,-0.04634107841453419,AFW
24,0.005583763122558594,-32.10124549024505,0.03905264996503585,FW,0.0004297571107294119,14.727991164231746,-0.03905264996503585,AFW
25,0.005914926528930664,-32.10125388182205,0.03628996672497725,AW,0.00034884807656557345,14.728453186365403,-0.03628996672497725,AFW
26,0.006243705749511719,-32.101260211664595,0.03200514713327668,FW,0.00038807101026699947,14.727725532062829,-0.03200514713327668,AFW
27,0.006582975387573242,-32.1012664217995,0.03111559598769431,FW,0.00030297963341017613,14.727727961132429,-0.03111559598769431,AFW
28,0.0069010257720947266,-32.10127113549543,0.028387352070534694,FW,0.00028970365590211825,14.72797049517091,-0.028387352070534694,AFW
29,0.00706791877746582,-32.10127524745526,0.025737817965571036,FW,0.00028679876071996364,14.728110568821526,-0.025737817965571036,AFW
30,0.007245779037475586,-32.10127893824241,0.027486991596150895,FW,0.0002827734766081409,14.728139501188181,-0.027486991596150895,AFW
31,0.00741887092590332,-32.101282824538494,0.022280502566130372,AW,0.00022584153282514382,14.728052100758973,-0.022280502566130372,AFW
32,0.007590770721435547,-32.10128534046992,0.01814516977573552,FW,0.00017462841847193546,14.727545085133785,-0.01814516977573552,AFW
33,0.007794857025146484,-32.10128692480107,0.018136206000600202,FW,0.00022166069915525186,14.727940088415595,-0.018136206000600202,AFW
34,0.008169889450073242,-32.101288934843126,0.01757562954325903,FW,0.0001955768103707506,14.727855571045529,-0.01757562954325903,AFW
35,0.008537769317626953,-32.10129065353591,0.016154444020472503,AW,0.00014619725075330629,14.72773852164454,-0.016154444020472503,AFW
36,0.008919715881347656,-32.10129183440357,0.014760044919454374,FW,0.00014060418081563507,14.727374210480694,-0.014760044919454374,AFW
37,0.0090789794921875,-32.101292872065585,0.013110192542561183,FW,0.0001434992289618727,14.727707623076276,-0.013110192542561183,AFW
38,0.009230852127075195,-32.10129381271683,0.011924519639087583,FW,0.0001437679688221814,14.727782877373283,-0.011924519639087583,AFW
39,0.009361982345581055,-32.10129466989882,0.011573231024624153,AW,0.00011065065345987674,14.727848613079946,-0.011573231024624153,AFW
40,0.009492874145507812,-32.10129531019161,0.009669482296101456,FW,0.00011917993682399343,14.72764639843716,-0.009669482296101456,AFW
41,0.009623050689697266,-32.10129588639575,0.010287306615717251,FW,0.00010889860621734753,14.727611798915783,-0.010287306615717251,AFW
42,0.009751081466674805,-32.10129644653242,0.00881270145693347,FW,9.647701613976959e-05,14.727665463377734,-0.00881270145693347,AFW
43,0.009879827499389648,-32.101296871643996,0.008749300065997945,AW,7.639182176271542e-05,14.727715276298662,-0.008749300065997945,AFW
44,0.010008811950683594,-32.10129720583149,0.006672055546792177,FW,7.156351541039816e-05,14.727535776227715,-0.006672055546792177,AFW
45,0.010137796401977539,-32.10129744456935,0.006899654452423021,FW,7.350289431634723e-05,14.727731922755696,-0.006899654452423021,AFW
46,0.01027679443359375,-32.101297698141636,0.006569375229229485,FW,7.14267692522475e-05,14.727664348492334,-0.006569375229229485,AFW
47,0.010406970977783203,-32.10129793275627,0.006093643006949728,FW,6.447767711402804e-05,14.727680377494973,-0.006093643006949728,AFW
48,0.010539054870605469,-32.10129812920824,0.005903671133689087,FW,7.079304074118676e-05,14.72768411711176,-0.005903671133689087,AFW
49,0.01066899299621582,-32.101298338177656,0.005109845014571873,AW,4.365534885944419e-05,14.727694950599128,-0.005109845014571873,AFW
50,0.010796070098876953,-32.101298449713696,0.00467495240747598,FW,4.3356084152292634e-05,14.727559453662376,-0.00467495240747598,AFW
