iteration,time,f(x),gap,step_type,gamma,grad_norm,dgrad,method
44,0.00672602653503418,-8.413337591177719,1.6742328116135012,FW,0.016524659132489485,14.405542633694322,-1.6742328116135012,FW
45,0.006812095642089844,-8.427170654437894,1.7111054938761587,FW,0.017404917192744285,14.398909598768267,-1.7111054938761587,FW
46,0.006887912750244141,-8.442061479152372,1.5279855551949804,FW,0.01691261935607825,14.375920008048327,-1.5279855551949804,FW
47,0.00696110725402832,-8.454982598190675,1.559655485683348,FW,0.016966080397904443,14.35468119170243,-1.559655485683348,FW
48,0.007033109664916992,-8.468213218372249,1.597943059645603,FW,0.01545729802424505,14.351139799329,-1.597943059645603,FW
49,0.0071048736572265625,-8.480563159421601,1.5535891149708978,FW,0.015099498193427891,14.347593326388182,-1.5535891149708978,FW
50,0.007174968719482422,-8.49229236743902,1.5019167414000543,FW,0.018284445279084273,14.348409047664715,-1.5019167414000543,FW
51,0.007250785827636719,-8.506023224674953,1.4581737480472259,FW,0.014049337305506686,14.340590321933679,-1.4581737480472259,FW
52,0.007472991943359375,-8.516266412093122,1.4899819127148308,FW,0.014200474152966361,14.35321806837359,-1.4899819127148308,FW
53,0.007649898529052734,-8.526845636913079,1.4121472782739024,FW,0.013833654314287779,14.331546168459521,-1.4121472782739024,FW
54,0.007811069488525391,-8.536613215557328,1.3893400109479157,FW,0.01595391320953571,14.338319901498588,-1.3893400109479157,FW
55,0.007970094680786133,-8.547695920533927,1.416639318043346,FW,0.015215439075490734,14.317608564383715,-1.416639318043346,FW
56,0.008131980895996094,-8.558473315151739,1.3798129399049237,FW,0.014659603197992734,14.312431881893467,-1.3798129399049237,FW
57,0.00828695297241211,-8.56858707024498,1.4248133956059517,FW,0.013613659167412275,14.30612177931168,-1.4248133956059517,FW
58,0.008442163467407227,-8.57828553221745,1.2942126109713816,FW,0.014141141719816718,14.317696772259247,-1.2942126109713816,FW
59,0.008594989776611328,-8.587436354191105,1.2845215199073292,FW,0.01288043901482437,14.309011896089478,-1.2845215199073292,FW
60,0.00875997543334961,-8.595708954741301,1.2864561460514414,FW,0.014445751069631549,14.312323258397656,-1.2864561460514414,FW
61,0.008912086486816406,-8.605000867365236,1.348689097278994,FW,0.012496353014598966,14.303381525422534,-1.348689097278994,FW
62,0.00906991958618164,-8.613427714898501,1.2622101727240294,FW,0.013270882906197474,14.302300448408909,-1.2622101727240294,FW
63,0.009221076965332031,-8.621803036601115,1.2439408551633246,FW,0.012452198519848622,14.29788822308127,-1.2439408551633246,FW
64,0.009373903274536133,-8.629547935838843,1.2247684267828407,FW,0.013187451113490564,14.303670672160766,-1.2247684267828407,FW
65,0.009498119354248047,-8.63762372271561,1.1897309154274305,FW,0.011961669797292079,14.292309660805198,-1.1897309154274305,FW
66,0.009569883346557617,-8.644739306894598,1.2142504725236827,FW,0.013817564487058693,14.29102754820999,-1.2142504725236827,FW
67,0.009639978408813477,-8.653128298998373,1.1379935146875717,FW,0.011507636450097905,14.280242903857454,-1.1379935146875717,FW
68,0.009710073471069336,-8.659676106823163,1.2319171054912295,FW,0.012728702216656394,14.28620979505241,-1.2319171054912295,FW
69,0.009779930114746094,-8.667516459818863,1.1359458475183382,FW,0.011890598252084175,14.291748322532621,-1.1359458475183382,FW
70,0.00985097885131836,-8.674269997673347,1.1604808518143046,FW,0.012667230396113954,14.277254301970494,-1.1604808518143046,FW
71,0.009921073913574219,-8.681620036833449,1.1636622017720792,FW,0.012256472188796134,14.26583020789098,-1.1636622017720792,FW
72,0.009990930557250977,-8.68875123354005,1.0780881694405435,FW,0.010281549043259166,14.268056235012574,-1.0780881694405435,FW
73,0.01006007194519043,-8.69429344173357,1.079962070344696,FW,0.012353385347793051,14.275369080697086,-1.079962070344696,FW
74,0.010129928588867188,-8.700964035541553,1.1130657073191625,FW,0.011709614112630268,14.264238132047938,-1.1130657073191625,FW
75,0.01019906997680664,-8.70748082049891,1.0195001233848848,FW,0.010880751613050254,14.265626501218831,-1.0195001233848848,FW
76,0.010268926620483398,-8.71302728430492,1.0862943744664328,FW,0.010653288699665113,14.257716062609374,-1.0862943744664328,FW
77,0.010339021682739258,-8.718813588096925,1.0248573185592074,FW,0.011744319874409888,14.264994650405074,-1.0248573185592074,FW
78,0.010408878326416016,-8.724831714184326,1.0290682318208215,FW,0.010021708102604896,14.254140174290411,-1.0290682318208215,FW
79,0.010477066040039062,-8.729988224902808,1.0049996312342664,FW,0.00970844974833377,14.25271341112561,-1.0049996312342664,FW
80,0.010547876358032227,-8.734866719111274,0.9761084984767133,FW,0.010518953379191554,14.252991418110895,-0.9761084984767133,FW
81,0.01061701774597168,-8.74000053900553,0.9797624830906649,FW,0.010920388060661526,14.245611414588335,-0.9797624830906649,FW
82,0.010798931121826172,-8.745350232266839,1.0021094160965693,FW,0.010006645823439166,14.236052688859262,-1.0021094160965693,FW
83,0.010957002639770508,-8.750364109268451,0.9574128287831811,FW,0.011312012374207626,14.233894519592337,-0.9574128287831811,FW
